EMLPROXY.exe	!!! Omniquad Total Security 3.0.0 !!!
EMLibUpdateAgentNT.exe	!!! Sophos Control Center !!!
EMSMTA.EXE	Microsoft Exchange Message Transfer Agent
EM_EXEC.EXE	Logitech Mouseware Driver
ENMClient.exe	SC Client Service
ENMFSService.ex	SC FS server
ENMFSService.exe	Switch Commander Application
ENMLogArchive.e	SC log archiver
ERClient7.exe	eRoom 7
ESSVR.EXE	Gigabyte EasySaver
ETConsole3.exe	!!! EventTracker Console !!!
ETCorrel.exe	!!! EventTracker log cache !!!
ETLogAnalyzer.exe	!!! EventTracker by Prism Microsystems !!!
ETReporter.exe	!!! EventTracker by Prism Microsystems !!!
ETRssFeeds.exe	!!! EventTracker by Prism Microsystems !!!
EUQMonitor.exe	!!! TrendMicro ScanMail for Exchange !!!
EUserman2.11.ex	EUserman 2.11
EUserman2.12.ex	Custom email monitoring software
EVENTS.EXE	Exchange Event Service
EVENTVWR.EXE	Event Viewer
EXMGMT.EXE	Microsoft Exchange Console
E_FATIAAP.EXE	Epson Status
